id,name,longitude,latitude,place_id,osm_type,osm_id,class,type,importance,display_name,place_rank,addresstype,bbox_south,bbox_north,bbox_west,bbox_east,addr_ISO3166-2-lvl4,addr_amenity,addr_city,addr_country,addr_country_code,addr_county,addr_house_number,addr_postcode,addr_road,addr_state,addr_suburb,addr_tourism,addr_town,addr_village,name_brand,name_name,name_name:ar,name_name:en,name_name:es,name_name:fa,name_old_name,name_old_name:en,name_ref,tag_addr_city_en,tag_addr_district_en,tag_addr_street_en,tag_addr_subdistrict_en,tag_barrier,tag_brand_ar,tag_brand_en,tag_brand_wikidata,tag_brand_wikipedia,tag_building,tag_contact_email,tag_contact_phone,tag_contact_website,tag_foot,tag_fuel_diesel,tag_fuel_octane_91,tag_fuel_octane_95,tag_fuel_octane_98,tag_lanes,tag_maxspeed,tag_maxspeed_hgv,tag_motorcycle,tag_oneway,tag_opening_hours,tag_operator,tag_self_service,tag_shop,tag_surface,tag_tracktype,tag_turn_lanes,tag_wikidata,tag_wikimedia_commons,tag_wikipedia,tag_wikipedia_ar,tag_wikipedia_en,lat,lon
154, Al Batayeh - Al Faya Rd - Sharjah,55.808129,25.041718,40332702,way,139819016,highway,secondary,0.053370834668497714,"Mahafiz - Al Fayah Road, Milehah, Sharjah Emirate, United Arab Emirates",26,road,25.0398226,25.0498042,55.8048218,55.8090669,AE-SH,,,United Arab Emirates,ae,,,,Mahafiz - Al Fayah Road,Sharjah Emirate,,,Milehah,,,طريق محافز - الفايه,طريق محافز - الفايه,Mahafiz - Al Fayah Road,Mahafiz - Al Fayah Road,,,,S153,,,,,,,,,,,,,,,,,,,2,,,,yes,,,,,,,through|through,,,,,,25.0416904,55.8080693
142,2nd December Cafeteria,55.729863,25.041051,40087789,way,219979420,highway,primary,0.05336732051575491,"Al Madam, Sharjah Emirate, United Arab Emirates",26,road,25.0025906,25.0957575,55.6683091,55.7796576,AE-SH,,Al Madam,United Arab Emirates,ae,,,,,Sharjah Emirate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100,,no,yes,,,,,,,,,,,,,25.0423871,55.7310046
162,ADNOC # 128 - Al Razeen,54.833224,24.207018,40055059,way,107373006,highway,primary,0.05337833447775994,"Ar Rawdah Road, Al Wathba Camel Racetrack, Dhaharat Al Teeb, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",26,road,24.2059831,24.2087321,54.8268503,54.8480842,AE-AZ,,Dhaharat Al Teeb,United Arab Emirates,ae,Abu Dhabi,,,Ar Rawdah Road,Abu Dhabi Emirate,Al Wathba Camel Racetrack,,,,,طريق الرَّوضة,طريق الرَّوضة,Ar Rawdah Road,,,,,E30,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,24.2079059,54.8333397
131,ADNOC AL FAYA,54.852711,24.217905,40197086,node,3212207907,amenity,restaurant,4.5001144426596745e-05,"Bonfood, Al Ain Road, Al Wathba Camel Racetrack, Al Khatm, Dhaharat Al Teeb, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",30,amenity,24.2179042,24.2180042,54.8527611,54.8528611,AE-AZ,Bonfood,Dhaharat Al Teeb,United Arab Emirates,ae,Abu Dhabi,,,Al Ain Road,Abu Dhabi Emirate,Al Wathba Camel Racetrack,,Al Khatm,,,Bonfood,Bonfood,Bonfood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2179542,54.8528111
170,ADNOC Al Fayadha,54.401383,23.650299,39847703,node,11041804867,place,house,4.5001144426596745e-05,"20, Al Makhazin Street, Abu Qrayn, Al Dhafrah Region, Abu Dhabi Emirate, 12614, United Arab Emirates",30,place,23.6502025,23.6503025,54.4013171,54.4014171,AE-AZ,,Abu Qrayn,United Arab Emirates,ae,Al Dhafrah Region,20,12614,Al Makhazin Street,Abu Dhabi Emirate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6502525,54.4013671
180,ADNOC Madinat Zayed - LIWA,53.796438,23.141813,39809999,node,10973927895,place,house,4.566643778129271e-05,"78, Mzeer'ah Street, Liwa, Mzeerʻah, Al Dhafrah Region, Abu Dhabi Emirate, 13003, United Arab Emirates",30,place,23.1417653,23.1418653,53.7963939,53.7964939,AE-AZ,,Mzeerʻah,United Arab Emirates,ae,Al Dhafrah Region,78,13003,Mzeer'ah Street,Abu Dhabi Emirate,,,Liwa,,,,,,,,,,,Al Dhafra Region,Mzeerʻah,Mzeer'ah Street,Mahdar Mizerah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1418153,53.7964439
177,ADNOC Service Station | Mazyed,55.844938,24.030188,40482525,way,483497641,amenity,fuel,4.5001144426596745e-05,"ADNOC, Zayed Bin Sultan Street, Mazyad, Al Ain, Abu Dhabi Emirate, United Arab Emirates",30,amenity,24.0301280,24.0303441,55.8447491,55.8450259,AE-AZ,ADNOC,,United Arab Emirates,ae,Al Ain,,,Zayed Bin Sultan Street,Abu Dhabi Emirate,,,,Mazyad,ADNOC,ادنوك,ادنوك,ADNOC,,,,,,,,,,,ادنوك,ADNOC,Q166729,,roof,,,,,yes,yes,yes,yes,,,,,,,ADNOC,yes,convenience,,,,,,,,,24.0302361,55.8448875
155,ADNOC Wathba New economy one,54.836759,24.206465,40055059,way,107373006,highway,primary,0.05337833447775994,"Ar Rawdah Road, Al Wathba Camel Racetrack, Al Wathbah, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",26,road,24.2059831,24.2087321,54.8268503,54.8480842,AE-AZ,,Al Wathbah,United Arab Emirates,ae,Abu Dhabi,,,Ar Rawdah Road,Abu Dhabi Emirate,Al Wathba Camel Racetrack,,,,,طريق الرَّوضة,طريق الرَّوضة,Ar Rawdah Road,,,,,E30,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,24.2074435,54.8368865
110,Adnoc Al Khatim ,54.993638,24.190768,40218891,node,1187714125,amenity,fuel,4.5001144426596745e-05,"ADNOC, Al Ain Road, Al Wathba Camel Racetrack, Al Khatm, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",30,amenity,24.1906878,24.1907878,54.9935764,54.9936764,AE-AZ,ADNOC,Al Khatm,United Arab Emirates,ae,Abu Dhabi,,,Al Ain Road,Abu Dhabi Emirate,Al Wathba Camel Racetrack,,Al Khatm,,ADNOC,ادنوك,ادنوك,ADNOC,,,,,,,,,,,ادنوك,ADNOC,Q166729,en:Abu Dhabi National Oil Company,,,,,,,,,,,,,,,,ADNOC,,,,,,,,,,,24.1907378,54.9936264
192,Adnoc meread,54.832310,24.434313,40386713,way,53501436,highway,trunk,0.05337833447775994,"Sweihan Road, Al Shamkha, Al Mi'rad, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",26,road,24.4190729,24.4361253,54.7625287,54.8407401,AE-AZ,,Al Mi'rad,United Arab Emirates,ae,Abu Dhabi,,,Sweihan Road,Abu Dhabi Emirate,Al Shamkha,,,,,طريق سويحان,طريق سويحان,Sweihan Road,,,,,E20,,,,,,,,,,,,,,no,,,,,4,140,,,yes,,,,,asphalt,,,,,,,,24.4345764,54.8322572
